"Unit","Year","Block","Treatment","SppGroup","SizeClass","Volume_Ha.1","Volume_Ha.2","Volume_Ha.3","Volume_Ha.4","Volume_Ha","pro_DClass1","pro_DClass2","pro_DClass3","pro_DClass4","pro_sppXgroup"
"C1","1992",2,4,"othercon","Large",15.5459977101048,5.74904456363455,15.8311196150251,4.72507310702153,101.632251320218,0.1529632327156,0.0565671279436756,0.155768660138653,0.0464918669579995,0.411790887755928
"C2","1992",2,2,"othercon","Large",11.1622484219543,9.61601039911692,15.2238647886803,15.7941085985211,89.4830424581545,0.124741494201811,0.107461817736179,0.170131282648325,0.176503929288132,0.578838523874447
"C3","1992",3,3,"othercon","Large",8.70033043523808,10.0313562509961,12.5302852542164,30.0789901907089,84.1068496163388,0.10344377984582,0.119269195038871,0.148980556415731,0.3576283064687,0.729321837769122
"D2","1992",4,1,"othercon","Large",2.1932454224643,5.12396961823223,42.1966711498241,52.4048578130064,120.232343281104,0.0182417256672481,0.0426172315901084,0.350959400759312,0.43586323266181,0.847681590678478
"D3","1992",4,4,"othercon","Large",18.2190155687331,26.1133283112156,93.5981191820531,81.3049785891407,285.485161193455,0.0638177322161669,0.0914700021607087,0.327856336878496,0.284795813026673,0.767939884282044
"D4","1992",4,2,"othercon","Large",2.23299799574647,9.08688994094741,49.6495932510356,58.3759684756655,163.315908048637,0.0136728749968525,0.0556399560184991,0.304009534920808,0.357442022477569,0.730764388413728
"D5","1992",4,3,"othercon","Large",4.61129850073119,12.8373396133614,50.3815889107831,40.2186379344391,132.932605055561,0.034688995215311,0.0965702854314469,0.379000989935654,0.30254908430952,0.812809354891932
"A1","1992",1,1,"decid","Small",0.268672564251877,5.33781104692249,10.4096910863712,2.02189812383428,80.2796363541386,0.00334670878511056,0.0664902245368394,0.129667890378212,0.0251856911124392,0.224690514812601
"A2","1992",1,3,"decid","Small",0.197392088021787,4.30698569836427,6.78672380413797,3.48726022171824,94.3479349608581,0.00209217179055036,0.0456500261521474,0.0719329342709362,0.0369617016330563,0.15663683384669
"A3","1992",3,1,"decid","Small",1.68742819690847,3.92179697104398,3.04038646689114,2.15486362757118,133.117660138082,0.0126762158766772,0.0294611321065585,0.022839843066182,0.0161876615419468,0.0811648525913645
"A4","1992",3,4,"decid","Small",0.616850275068085,3.04861113722538,2.42079463504497,1.95198842599323,156.845834052367,0.00393284449532865,0.0194369914613576,0.0154342297305565,0.0124452679141067,0.0512493336013494
"B1","1992",1,4,"decid","Small",0.826579368591234,3.67368608262771,4.66475885790376,0.494850998443508,87.1719100942327,0.00948217571116318,0.0421430031607252,0.0535121790134134,0.00567672542575441,0.110814083311056
"B2","1992",3,2,"decid","Small",0.165864185073863,0.560648361117437,0.917050742267886,0.548311355616075,115.993896502192,0.00142993890261052,0.00483342984436119,0.00790602583344166,0.00472707075243149,0.0188964653328449
"B3","1992",1,2,"decid","Small",1.24740833402657,6.8456672748667,1.20491420396633,1.22821743658001,50.8449120062787,0.0245335921492505,0.134638196915777,0.0236978324166936,0.0241561522700313,0.207025773751752
"B4","1992",2,1,"decid","Small",0.268672564251877,1.89030339848642,4.82102759425434,1.44891275721548,57.6521974862522,0.00466023110942032,0.0327880545912787,0.0836226163868943,0.0251319606258025,0.146202862713396
"B5","1992",2,3,"decid","Small",1.00752211594454,5.53657391333332,5.79565102886192,4.0657287018932,61.6891398419756,0.0163322445170322,0.0897495722507388,0.0939492922694043,0.0659067173299558,0.265937826367131
"C1","1992",2,4,"decid","Small",1.17201552262936,4.70451143118593,4.54550113805726,0,101.632251320218,0.0115319252245691,0.0462895524803755,0.0447249871867497,0,0.102546464891694
"C2","1992",2,2,"decid","Small",0,6.48104022338201,0.975994212996614,0,89.4830424581545,0,0.0724275800793517,0.0109070298258245,0,0.0833346099051762
"C3","1992",3,3,"decid","Small",0,1.0541285811719,2.41256996471073,0.268672564251877,84.1068496163388,0,0.0125332072950112,0.0286845836660854,0.00319441954463223,0.0444122105057288
"D3","1992",4,4,"decid","Small",0,0,0.268672564251877,0,285.485161193455,0,0,0.000941108683648237,0,0.000941108683648237
"A1","1992",1,1,"decid","Large",0.604513269566723,5.75864001235783,8.73322911657504,2.00956111833292,80.2796363541386,0.00753009476649876,0.0717322632971912,0.108785110560915,0.0250320157090412,0.213079484333646
"A2","1992",1,3,"decid","Large",1.31731803186762,4.86078016753651,1.40504784876619,0,94.3479349608581,0.0139623409077701,0.0515197303423025,0.0148921950369036,0,0.0803742662869762
"A3","1992",3,1,"decid","Large",2.19461620085334,25.5979156369365,2.44135631088058,3.23229544135676,133.117660138082,0.0164862888859141,0.192295414525646,0.0183398379174347,0.0242814923129203,0.251403033641915
"A4","1992",3,4,"decid","Large",0,2.51126600872163,3.64215817967978,25.6417805453858,156.845834052367,0,0.0160110469232047,0.0232212618313072,0.163483975843595,0.202716284598107
"B1","1992",1,4,"decid","Large",0.72514176780226,0,0.72514176780226,1.21176809591153,87.1719100942327,0.00831852562388942,0,0.00831852562388942,0.0139009010425676,0.0305379522903464
"B3","1992",1,2,"decid","Large",1.70113598079887,7.15546319078978,1.23370055013617,1.58461981773046,50.8449120062787,0.0334573492936482,0.14073115496603,0.0242639922355225,0.03116575002696,0.229618246522161
"B4","1992",2,1,"decid","Large",3.13222861895683,0,1.70113598079887,0,57.6521974862522,0.0543297351276808,0,0.0295068714632175,0,0.0838366065908983
"B5","1992",2,3,"decid","Large",1.33787970770322,1.81628136547825,3.78060679697284,4.43172653176693,61.6891398419756,0.0216874430593516,0.029442481612337,0.0612848032353399,0.0718396551341022,0.184254383041131
