Year,Unit,Treatment,Block,TreatmentUnit,TreatmentType,TreatmentUnitType,Plot,Subplot,CWD_piece,Sp,Decay,Diam1m,Diam2m,large_diam,small_diam,Elev1,Elev2,high_elev,low_elev,Lngth2bndry1,Lngth2bndry2,LngthInPlot,Lngth2end,Bark,Growth
2018,A4-1,noharvest,subhygric mature,A4,A4-1,A4,1,,15,U,4,0.185,0.209,0.209,0.185,0,0,0,0,0,0,3.3,3.3,0,3
2018,A1-0,clearcut,submesic mature,A1,A1-0,A1,0,,33,U,3,0.153,0.203,0.203,0.153,0,0,0,0,0,0,3,3,0,3
2018,A4-3,noharvest,subhygric mature,A4,A4-3,A4,3,,8,U,3,0.036,0.198,0.198,0.036,0,8,8,0,6.4,0,6.4,10.2,0,3
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,1,U,3,0.4,0.164,0.4,0.164,0,0,0,0,8.3,20.1,11.8,23.6,0,3
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,41,Pl,3,0.09,0.16,0.16,0.09,0,0,0,0,7.7,0,7.7,14.4,1,1
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,25,U,3,0.056,0.1,0.1,0.056,6,0,6,0,1.2,0,1.2,1.7,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,13,U,4,0.09,0.12,0.12,0.09,25,0,25,0,0,0,1.2,1.2,0,3
2018,B3-4-M,heavy,submesic mature,B3,B3-4,B3 M,4,M,16,Hw,3,0.192,0.068,0.192,0.068,0,0,0,0,3.6,10,6.4,12.8,3,2
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,12,Ep,4,0.192,0.172,0.192,0.172,0,0,0,0,4,0,4,5.5,0,3
2018,B4-4,clearcut,mesic mature,B4,B4-4,B4,4,,5,Ep,4,0.16,0.183,0.183,0.16,0,0,0,0,1.9,6.4,4.5,10.2,2,3
2018,C2-1-M,heavy,mesic mature,C2,C2-1,C2 M,1,M,6,Hw,2,0.155,0.01,0.155,0.01,0,24,24,0,1.4,12.6,11.2,16.8,3,2
2018,B2-0-M,heavy,subhygric mature,B2,B2-0,B2 M,0,M,1,U,3,0.146,0.4,0.4,0.146,61,0,61,0,1.5,0,1.5,24.8,0,2
2018,B2-1-M,heavy,subhygric mature,B2,B2-1,B2 M,1,M,5,Hw,3,0.09,0.17,0.17,0.09,0,11,11,0,7.4,0,7.4,18,2,3
2018,C2-1-O,heavy,mesic mature,C2,C2-1,C2 O,1,O,6,U,2,0.181,0.104,0.181,0.104,8,3,8,3,6.3,0,6.3,8.6,0,3
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,3,Hw,3,0.044,0.15,0.15,0.044,15,16,16,15,11.3,0,11.3,13.9,1,0
2018,A2-3,light,submesic mature,A2,A2-3,A2,3,,13,Ep,4,0.172,0.141,0.172,0.141,0,0,0,0,2,0,2,2.3,1,3
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,21,Hw,4,0.058,0.134,0.134,0.058,7,0,7,0,5,0,5,5.3,2,3
2018,C2-4-M,heavy,mesic mature,C2,C2-4,C2 M,4,M,6,U,3,0.194,0.055,0.194,0.055,0,52,52,0,0,0,6.9,6.9,0,3
2018,C1-3,noharvest,mesic mature,C1,C1-3,C1,3,,11,U,4,0.25,0.178,0.25,0.178,0,0,0,0,0,0,3,3,0,3
2018,A2-1,light,submesic mature,A2,A2-1,A2,1,,2,U,3,0.114,0.061,0.114,0.061,0,8.5,8.5,0,2.5,5.8,3.3,6.4,0,1
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,22,Hw,1,0.176,0.01,0.176,0.01,28,400,400,28,4,0,4,8,3,2
2018,B3-0-M,heavy,submesic mature,B3,B3-0,B3 M,0,M,18,U,3,0.196,0.26,0.26,0.196,0,0,0,0,0,0,2.7,2.7,0,2
2018,A1-2,clearcut,submesic mature,A1,A1-2,A1,2,,12,U,3,0.16,0.195,0.195,0.16,0,0,0,0,0,0,4.5,4.5,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,16,U,3,0.111,0.105,0.111,0.105,0,0,0,0,0,0,1.3,1.3,0,3
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,19,U,4,0.221,0.182,0.221,0.182,0,0,0,0,0.7,4.2,3.5,5.7,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,23,U,3,0.067,0.109,0.109,0.067,0,0,0,0,0,0,1.9,1.9,0,3
2018,B2-0-O,heavy,subhygric mature,B2,B2-0,B2 O,0,O,1,U,4,0.33,0.21,0.33,0.21,0,0,0,0,1.9,0,1.9,2.9,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,7,U,4,0.08,0.104,0.104,0.08,5,0,5,0,0,0,0.8,0.8,0,2
2018,B3-1-M,heavy,submesic mature,B3,B3-1,B3 M,1,M,14,Hw,3,0.227,0.181,0.227,0.181,20,0,20,0,0,0,3.5,3.5,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,15,U,4,0.14,0.101,0.14,0.101,0,0,0,0,0,0,1.6,1.6,0,3
2018,A4-2,noharvest,subhygric mature,A4,A4-2,A4,2,,3,Hw,3,0.125,0.16,0.16,0.125,0,0,0,0,7.2,0,7.2,18,2,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,17,U,3,0.03,0.107,0.107,0.03,12,0,12,0,4.1,0,4.1,6,0,3
2018,A2-3,light,submesic mature,A2,A2-3,A2,3,,4,U,4,0.151,0.138,0.151,0.138,0,0,0,0,0,0,2.5,2.5,0,2
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,39,U,3,0.189,0.2,0.2,0.189,22,0,22,0,0.4,0,0.4,1.4,0,2
2018,B1-4,noharvest,submesic mature,B1,B1-4,B1,4,,9,Cw,1,0.01,0.178,0.178,0.01,220,10,220,10,9.6,19.1,9.5,21.8,3,0
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,20,U,4,0.128,0.114,0.128,0.114,0,0,0,0,0,0,1.8,1.8,0,3
2018,B3-0-M,heavy,submesic mature,B3,B3-0,B3 M,0,M,3,Hw,3,0.09,0.204,0.204,0.09,17,0,17,0,6.1,0,6.1,11.8,1,2
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,7,Hw,3,0.1,0.2,0.2,0.1,0,19,19,0,6.1,0,6.1,13.5,1,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,1,U,3,0.112,0.13,0.13,0.112,0,0,0,0,2,0,2,3.5,0,3
2018,A2-1,light,submesic mature,A2,A2-1,A2,1,,12,Hw,1,0.021,0.122,0.122,0.021,107,25,107,25,1.4,0,1.4,9.5,3,0
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,11,Hw,3,0.082,0.117,0.117,0.082,0,0,0,0,2.9,0,2.9,3.3,1,3
