Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
B1,A350,3.99,Cw,9.4,9.3,,1,,Spp
B1,A350,3.99,Cw,,8.5,,1,,
B1,A350,3.99,Cw,,7.5,,1,,
B1,B100,3.99,Cw,6.9,6.8,,1,,
B1,B100,3.99,Cw,7.0,5.9,,3,,
B1,B100,3.99,Cw,7.0,7.0,,1,,
B1,B300,3.99,Cw,4.0,5.4,,1,,
B1,B300,3.99,Cw,,4.7,,1,,
B1,C000,3.99,Cw,,8.8,,2,,LF
B1,C150,3.99,Cw,5.2,7.2,,1,,
B1,C150,3.99,Cw,,4.9,,3,,
B1,C350,3.99,Cw,6.0,9.5,,1,,
B1,D100,3.99,Cw,7.5,8.3,,2,,
B1,D300,3.99,Cw,5.1,7.6,,1,,
B1,D300,3.99,Cw,,7.9,,1,,
B1,D300,3.99,Cw,7.1,7.2,,1,,
B1,E100,3.99,Cw,,9.5,,2,,
B1,E100,3.99,Cw,,9.4,,1,,
B1,E100,3.99,Cw,,7.8,,1,,
B1,E100,3.99,Cw,,5.9,,2,,
B1,E350,3.99,Cw,,8.1,,1,,
B1,E350,3.99,Cw,,5.2,,1,,
B1,E350,3.99,Cw,,8.4,,1,,
B1,F250,3.99,Cw,4.0,,,DF,,
B1,F250,3.99,Cw,6.5,8.2,,1,,
B1,F250,3.99,Cw,,7.4,,1,,
B1,F250,3.99,Cw,7.0,7.8,,1,,
B1,F250,3.99,Cw,,4.8,,1,,
B1,F250,3.99,Cw,8.0,8.9,,1,,
B1,F250,3.99,Cw,9.0,8.0,,1,,
B1,G000,3.99,Cw,5.0,7.1,,1,,
B1,G000,3.99,Cw,,9.3,,2,,LF
B1,G150,3.99,Cw,4.3,4.7,,1,,
B1,G150,3.99,Cw,5.1,5.5,,1,,
B1,G150,3.99,Cw, ,5.0,,1,,
B1,G150,3.99,Cw,,5.0,,1,,
B1,G150,3.99,Cw,6.6,6.9,,1,,
B1,G150,3.99,Cw,7.1,6.8,,1,,
B1,H050,2.52,Hw,7.1,7.9,,3.0,,
B1,H200,3.99,Cw,4.0,4.9,,1,,
B1,H200,3.99,Cw,,4.3,,1,,
B1,H200,3.99,Cw,5.5,7.4,,1,,
B1,H200,3.99,Cw,6.7,7.0,,1,,
B1,H200,3.99,Cw,,7.0,,1,,
B1,H200,3.99,Cw,,7.0,,1,,
B1,H200,3.99,Cw,,7.7,,1,,
B2,B000,2.52,Sx,,5.2,,1,,
B2,B000,2.52,Sx,,5.5,,1,,
B2,B000,2.52,Sx,,6.2,,1,,
B2,B000,2.52,Cw,,4.7,,1,,
B2,B100,2.52,Cw,,9.9,,1,,
B2,B200,1.26,Cw,9.6,,,,tree is out ,
B2,C150,2.52,Hw,,5.0, ,1,,
B2,D000,1.26,Hw,,4.7,,1,,
B2,D100,2.52,Hw, ,5.3,,1,,
B2,F200,2.52,Hw,6.0,6.5,1,1,,
B2,F200,2.52,Hw,7.3,8.4,1,1,,
B2,G000,3.99,Cw,,7.0, ,2,,
B2,G150,2.52,Ep,4.3,4.4,2,2,,
B2,G150,2.52,Ep,9.1,9.0,1,1,,
B2,H050,2.52,Cw,,5.8, ,1,,
B2,H200 ,3.99,Cw,,8.6, ,1,,
B2,H300,1.26,Hw,,6.6, ,1,,
B2,I300,3.99,Hw,5.4,7.7, ,1,,
B2,I300,3.99,Hw,5.8,9.8, ,2,,
B2,I300,3.99,Sx,,6.4,,1,,
B2,J050,2.52,Hw, ,4.6,,1,,
B2,J300,2.52,Cw,,5.3,,1,,
B3,A050,3.99,Hw,5.7,5.6,,2,,
B3,A150,3.99,Hw,4.5,4.9,,1,,start north
B3,A150,3.99,Hw,5.3,6.5,,1,,
B3,A150,3.99,Hw, ,4.1,,1,,
B3,A150,3.99,Hw,5.5,6.3,,1,,
B3,A150,3.99,Hw,5.5,6.7,,1,,
B3,A150,3.99,,,6.0,,1,,
B3,A150,3.99,Hw,6.7,6.3,,1,,
B3,B050,2.52,Hw, ,4.2,,1,,
B3,B150,2.52,Cw,4.6,5.4,,1,,
B3,B150,2.52,Hw,8.2,8.4,,1,,
B3,C000,3.99,Bl, ,6.0,,1,,
B3,C000,3.99,Cw,,6.1,,1,,
B3,C100,3.99,Cw,9.9,9.6,,1,,D OK
B3,C100,3.99,Hw,,6.0,,2,,
B3,C100,3.99,Hw,,7.5,,1,,
B3,D000,2.52,Cw,4.6,4.6,,1,,
B3,D000,2.52,Cw,6.5, ,, ,,not found
B3,D150,1.26,Hw,5.8,,,,,not found
B3,D250,2.52,Hw,,5.4,,1,,
B3,E050,3.99,Bl,4.3,4.3,,1,,Spp
B3,E050,3.99,Cw,4.7,4.9,,1,,
B3,E050,3.99,Hw,4.8,4.9,,1,,
B3,E050,3.99,Hw,5.0,,,DF,,
B3,E050,3.99,Hw, ,4.7,,1,,
B3,E050,3.99,Bl,,4.9,,1,,
B3,E150,2.52,Hw,4.5,8.1,,1,,
B3,E150,2.52,Hw,,4.5,,1,,
B3,E150,2.52,Bl,4.9,8.6,,1,,Spp
B3,E150,2.52,Hw,,4.0,,1,,
B3,E250,1.26,Cw,5.1,5.7,,1,,
B3,F000,2.52,Cw,4.5,5.4,,1,,incorrect radius  is 2.52
B3,F300,2.52,Cw,4.2,,,,,not found
B3,F300,2.52,Hw,4.0,7.7,,1,,
B3,G200,1.26,Cw,8.7,8.7,,1,,
B3,G200,1.26,Cw,9.2,,,,,tagged as 565 now
B3,G200,1.26,Cw, ,8.6,,1,,
B3,G300,2.52,Hw,,6.0,,1,,
B3,H50,0.8,,,,,,,no trees
B3,H100,2.52,Hw,4.5,5.6,,1,,Spp
B3,H100,2.52,Hw,4.1,4.1,,1,, 
B3,H100,2.52,Sx,4.2,4.3,,1,,Spp
