Unit,Gd Pt,Plot.Size,Spp,DBH,Tree Class,Comments,measurement date
B1,G150,3.99,Cw,7.1,,,August/September 2018
B3,G200,1.26,Cw,8.7,,,August/September 2018
B3,G200,1.26,Cw,9.2,,,August/September 2018
B5,G300,3.99,Cw,4.3,,,August/September 2018
B5,G300,3.99,Cw,5.5,,,August/September 2018
B5,G300,3.99,Cw,5.7,,,August/September 2018
B5,G300,3.99,Cw,5.7,,,August/September 2018
B5,G300,3.99,Cw,9.5,,,August/September 2018
B5,H000,3.99,Cw,4,,,August/September 2018
B5,H000,3.99,Cw,5.6,,,August/September 2018
B5,H000,3.99,Cw,6.6,,,August/September 2018
B5,H000,3.99,Cw,7.9,,,August/September 2018
B3,H100,2.52,Cw,4.5,,,August/September 2018
B5,H200,1.26,Cw,7,,,August/September 2018
B5,H200,1.26,Cw,9.3,,,August/September 2018
B1,H200,3.99,Cw,4,,,August/September 2018
B1,H200,3.99,Cw,5.5,,,August/September 2018
B1,H200,3.99,Cw,6.7,,,August/September 2018
B4,H250,2.52,Cw,5.7,,,August/September 2018
B3,H250,2.52,Cw,4.5,,,August/September 2018
A2,I050,3.99,Cw,4,,,August/September 2018
C2,I200,3.99,Cw,4.3,,,August/September 2018
C2,I300,2.52,Cw,4.3,,,August/September 2018
C2,J200,2.52,Cw,5.2,,,August/September 2018
A4,J300,3.99,Cw,7,,,August/September 2018
A4,K100,2.52,Cw,6.1,,,August/September 2018
C2,K100,2.52,Cw,8.1,,,August/September 2018
A4,K100,2.52,Cw,9.1,,,August/September 2018
A1,E150,1.26,Ep,4.9,,,August/September 2018
A1,E150,1.26,Ep,5.5,,,August/September 2018
C2,I200,3.99,Ep,4.8,,,August/September 2018
A3,I350,5.64,Ep,4.9,,,August/September 2018
A3,I350,5.64,Ep,6.3,,,August/September 2018
A3,J050,2.52,Ep,8.1,,,August/September 2018
A3,J050,2.52,Ep,8.9,,,August/September 2018
B5,A000,3.99,Hw,4.2,,,August/September 2018
B5,A000,3.99,Hw,6,,,August/September 2018
D5,A050,1.78,Hw,5,,,August/September 2018
D5,A050,1.78,Hw,5.9,,,August/September 2018
B3,A050,3.99,Hw,5.7,,,August/September 2018
A3,A100,1.26,Hw,4.8,,,August/September 2018
A3,A100,1.26,Hw,5.4,,,August/September 2018
A3,A100,1.26,Hw,5.8,,,August/September 2018
B5,A100,3.99,Hw,4.1,,,August/September 2018
B5,A100,3.99,Hw,6,,,August/September 2018
B5,A100,3.99,Hw,6,,,August/September 2018
B3,A150,3.99,Hw,4.5,,,August/September 2018
B3,A150,3.99,Hw,5.3,,,August/September 2018
B3,A150,3.99,Hw,5.5,,,August/September 2018
B3,A150,3.99,Hw,5.5,,,August/September 2018
B3,A150,3.99,Hw,6.7,,,August/September 2018
B1,A350,3.99,Hw,9.4,,,August/September 2018
D2,B100,3.99,Hw,4,,,August/September 2018
D2,B100,3.99,Hw,5.6,,,August/September 2018
B3,B150,2.52,Hw,8.2,,,August/September 2018
D5,B450,2.52,Hw,9.6,,,August/September 2018
D2,C100,2.52,Hw,4,,,August/September 2018
D2,C100,2.52,Hw,5.2,,,August/September 2018
A1,C250,2.52,Hw,4.8,,,August/September 2018
D4,C250,2.52,Hw,5,,,August/September 2018
D2,C350,2.52,Hw,7,,,August/September 2018
A1,D000,1.78,Hw,4.5,,,August/September 2018
A3,D000,3.99,Hw,5.6,,,August/September 2018
A3,D000,3.99,Hw,6.2,,,August/September 2018
B3,D150,1.26,Hw,5.8,,,August/September 2018
A3,D200,2.52,Hw,7.5,,,August/September 2018
D2,D200,3.99,Hw,4.5,,,August/September 2018
D2,D200,3.99,Hw,4.9,,,August/September 2018
D2,D200,3.99,Hw,7,,,August/September 2018
D2,D200,3.99,Hw,8,,,August/September 2018
D2,D200,3.99,Hw,8,,,August/September 2018
D2,D450,1.26,Hw,4,,,August/September 2018
D2,D450,1.26,Hw,4.7,,,August/September 2018
D2,D450,1.26,Hw,5,,,August/September 2018
D2,D450,1.26,Hw,5.2,,,August/September 2018
D2,D450,1.26,Hw,8.3,,,August/September 2018
D2,D450,1.26,Hw,9.1,,,August/September 2018
D3,D600,2.52,Hw,5,,,August/September 2018
D5,E000,1.78,Hw,9.5,,,August/September 2018
B3,E050,3.99,Hw,4.8,,,August/September 2018
B3,E050,3.99,Hw,5,,,August/September 2018
B4,E150,2.52,Hw,8.2,,,August/September 2018
B3,E150,2.52,Hw,4.5,,,August/September 2018
B3,E150,2.52,Hw,4.9,,,August/September 2018
A3,E300,1.26,Hw,8.5,,,August/September 2018
A3,E300,1.26,Hw,8.7,,,August/September 2018
D2,E300,2.52,Hw,8.8,,,August/September 2018
B5,E300,2.52,Hw,9.8,,,August/September 2018
D5,E400,2.52,Hw,5.7,,,August/September 2018
D3,E400,3.99,Hw,5.1,,,August/September 2018
D3,E400,3.99,Hw,7.2,,,August/September 2018
D3,E400,3.99,Hw,7.6,,,August/September 2018
B5,E450,1.78,Hw,5.6,,,August/September 2018
B2,F200,2.52,Hw,6,,,August/September 2018
B2,F200,2.52,Hw,7.3,,,August/September 2018
D4,F250,2.52,Hw,4.9,,,August/September 2018
D4,F250,2.52,Hw,5.7,,,August/September 2018
A1,F300,1.78,Hw,6.9,,,August/September 2018
B3,F300,2.52,Hw,4,,,August/September 2018
D2,F350,2.52,Hw,4.3,,,August/September 2018
D4,F350,2.52,Hw,4.3,,,August/September 2018
D2,F350,2.52,Hw,5,,,August/September 2018
D2,F350,2.52,Hw,7.7,,,August/September 2018
D3,F400,3.99,Hw,8.3,,,August/September 2018
D3,F550,3.99,Hw,7.8,,,August/September 2018
D4,G050,2.52,Hw,8.3,,,August/September 2018
B4,G100,1.26,Hw,5.5,,,August/September 2018
B4,G100,1.26,Hw,6.7,,,August/September 2018
A1,G250,0.8,Hw,4,,,August/September 2018
A1,G250,0.8,Hw,4.5,,,August/September 2018
A2,G250,3.99,Hw,4.5,,,August/September 2018
A2,G250,3.99,Hw,6.5,,,August/September 2018
B5,G300,3.99,Hw,9,,,August/September 2018
D4,G350,2.52,Hw,4.7,,,August/September 2018
D4,G350,2.52,Hw,4.7,,,August/September 2018
B5,G400,2.52,Hw,6.8,,,August/September 2018
D4,H000,2.52,Hw,4,,,August/September 2018
D4,H000,2.52,Hw,5.6,,,August/September 2018
D5,H000,3.99,Hw,4,,,August/September 2018
B1,H050,3.99,Hw,5,,,August/September 2018
B1,H050,3.99,Hw,7.1,,,August/September 2018
B3,H100,2.52,Hw,4.1,,,August/September 2018
B3,H100,2.52,Hw,4.2,,,August/September 2018
B4,H250,2.52,Hw,8.8,,,August/September 2018
